"game_id","season","era","home_team_name","away_team_name","home_team_id","away_team_id","true_home","bye","mnf","tnf","point_diff","spread_line","days_since_last_game_home_team","days_since_last_game_away_team"
2002122906,2002,"2002-10","BUF","CIN",4,7,1,0,0,0,18,7.5,7,7
2002091504,2002,"2002-10","CAR","DET",5,11,1,0,0,0,24,3,7,7
2002092200,2002,"2002-10","MIN","CAR",21,5,1,0,0,0,-7,6.5,7,7
2002092900,2002,"2002-10","GB","CAR",12,5,1,0,0,0,3,6.5,7,7
2002101306,2002,"2002-10","DAL","CAR",9,5,1,0,0,0,1,2,7,7
2002102701,2002,"2002-10","CAR","TB",5,30,1,0,0,0,-3,-8,7,7
2002111010,2002,"2002-10","CAR","NO",5,23,1,0,0,0,-10,-4,14,14
2002111705,2002,"2002-10","TB","CAR",30,5,1,1,0,0,13,8,14,7
2002120106,2002,"2002-10","CLE","CAR",8,5,1,0,0,0,-7,7.5,7,7
2002120804,2002,"2002-10","CAR","CIN",5,7,1,0,0,0,21,3,7,7
2002121502,2002,"2002-10","PIT","CAR",27,5,1,0,0,0,16,9,7,7
2002122202,2002,"2002-10","CAR","CHI",5,6,1,0,0,0,10,4,7,7
2002122904,2002,"2002-10","NO","CAR",23,5,1,0,0,0,-4,6,7,7
2002090812,2002,"2002-10","CHI","MIN",6,21,1,0,0,0,4,4.5,NA,NA
2002092210,2002,"2002-10","CHI","NO",6,23,1,0,0,0,-6,-2,7,7
2002100700,2002,"2002-10","CHI","GB",6,12,1,0,0,0,-13,1,8,8
2002102004,2002,"2002-10","DET","CHI",11,6,1,-1,0,0,3,-3,7,13
2002102702,2002,"2002-10","MIN","CHI",21,6,1,0,0,0,18,2,7,7
2002110310,2002,"2002-10","CHI","PHI",6,26,1,0,1,0,-6,-7,7,6
2002111009,2002,"2002-10","CHI","NE",6,22,1,0,0,0,-3,-5,7,7
2002111800,2002,"2002-10","LA","CHI",17,6,1,0,0,0,5,10.5,8,8
2002112407,2002,"2002-10","CHI","DET",6,11,1,0,-1,0,3,5,6,7
2002120108,2002,"2002-10","GB","CHI",12,6,1,0,0,0,10,9.5,7,7
2002120900,2002,"2002-10","MIA","CHI",20,6,1,0,0,0,18,10.5,8,8
2002121510,2002,"2002-10","CHI","NYJ",6,25,1,0,-1,0,7,-6.5,6,7
2002122911,2002,"2002-10","CHI","TB",6,30,1,0,1,0,-15,-7,7,6
2002090805,2002,"2002-10","CIN","LAC",7,18,1,0,0,0,-28,3,NA,NA
2002091502,2002,"2002-10","CLE","CIN",8,7,1,0,0,0,13,3.5,7,7
2002092905,2002,"2002-10","CIN","TB",7,30,1,0,1,0,-28,-6.5,7,6
2002100602,2002,"2002-10","IND","CIN",14,7,1,1,0,0,7,13.5,14,7
2002101303,2002,"2002-10","CIN","PIT",7,27,1,0,0,0,-27,-6.5,7,7
2002102703,2002,"2002-10","CIN","TEN",7,31,1,0,0,0,-6,-4.5,14,14
2002110302,2002,"2002-10","HOU","CIN",13,7,1,0,0,0,-35,2.5,7,7
2002111706,2002,"2002-10","CIN","CLE",7,8,1,-1,0,0,-7,-3,7,14
2002112404,2002,"2002-10","PIT","CIN",27,7,1,0,0,0,8,10.5,7,7
2002121506,2002,"2002-10","CIN","JAX",7,15,1,0,0,0,-14,-3,7,7
2002122208,2002,"2002-10","CIN","NO",7,23,1,0,0,0,7,-7,7,7
2002090810,2002,"2002-10","CLE","KC",8,16,1,0,0,0,-1,2,NA,NA
2002092202,2002,"2002-10","TEN","CLE",31,8,1,0,0,0,-3,4.5,7,7
2002092904,2002,"2002-10","PIT","CLE",27,8,1,1,0,0,3,6,14,7
2002101305,2002,"2002-10","TB","CLE",30,8,1,0,0,0,14,7.5,7,7
2002102005,2002,"2002-10","CLE","HOU",8,13,1,0,0,0,17,8.5,7,7
2002102704,2002,"2002-10","NYJ","CLE",25,8,1,0,0,0,-3,3,7,7
2002110312,2002,"2002-10","CLE","PIT",8,27,1,0,0,0,-3,-3.5,7,7
2002112406,2002,"2002-10","NO","CLE",23,8,1,0,0,0,-9,5.5,7,7
2002120806,2002,"2002-10","JAX","CLE",15,8,1,0,0,0,-1,2.5,7,7
2002121504,2002,"2002-10","CLE","IND",8,14,1,0,0,0,-5,-2,7,7
2002090813,2002,"2002-10","HOU","DAL",13,9,1,0,0,0,9,-8.5,NA,NA
2002091503,2002,"2002-10","DAL","TEN",9,31,1,0,0,0,8,-3.5,7,7
2002092204,2002,"2002-10","PHI","DAL",26,9,1,0,-1,0,31,10,6,7
2002092906,2002,"2002-10","LA","DAL",17,9,1,0,-1,0,-3,12,6,7
2002100606,2002,"2002-10","DAL","NYG",9,24,1,0,0,0,-4,-1.5,7,7
2002102712,2002,"2002-10","DAL","SEA",9,28,1,0,0,0,-3,2,7,7
2002110304,2002,"2002-10","DET","DAL",11,9,1,0,0,0,2,3,7,7
2002111708,2002,"2002-10","IND","DAL",14,9,1,-1,0,0,17,6.5,7,14
2002112411,2002,"2002-10","DAL","JAX",9,15,1,0,0,0,2,-2.5,7,7
2002112801,2002,"2002-10","DAL","WAS",9,32,1,0,0,0,7,-1,4,4
2002120814,2002,"2002-10","DAL","SF",9,29,1,0,0,1,-4,-4.5,10,7
2002121509,2002,"2002-10","NYG","DAL",24,9,1,0,0,0,30,5,7,7
2002122102,2002,"2002-10","DAL","PHI",9,26,1,0,0,0,-24,-7,6,6
2002122908,2002,"2002-10","WAS","DAL",32,9,1,0,0,0,6,7.5,7,8
