"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","outcome","n_se"
"Split Bye",0,0,-14479.8790183912,70.7691086425209,592.573734261264,14.087578568426,28959.7580367823,141.538217285042,"Spread",0
"No Split",-2.54498041638086,2.00233180628533,-14482.4239988075,70.831113869008,592.371009291968,14.1615308828734,28964.847997615,141.662227738016,"Spread",1.27100833557763
