"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","outcome","n_se"
"Split Bye",0,0,-22508.3470493249,56.7124572175877,398.066574411944,7.7361582690264,45016.6940986497,113.424914435175,"Point Diff",0
"No Split",-0.260389497304566,1.8006980960121,-22508.6074388222,56.7004658167744,396.816661659609,7.71311324219525,45017.2148776444,113.400931633549,"Point Diff",0.144604749614183
